id,name,source,width,height,status,weapon,mount,pet
069,,/Users/wdy/github/1999SHUIHU3D/images/069.png,900,1350,generated,absent,absent,absent
070,,/Users/wdy/github/1999SHUIHU3D/images/070.png,900,1350,generated,present,absent,absent
071,,/Users/wdy/github/1999SHUIHU3D/images/071.png,900,1350,generated,present,absent,absent
072,,/Users/wdy/github/1999SHUIHU3D/images/072.png,900,1350,generated,present,absent,absent
073,,/Users/wdy/github/1999SHUIHU3D/images/073.png,900,1350,generated,present,absent,absent
074,,/Users/wdy/github/1999SHUIHU3D/images/074.png,900,1350,generated,present,absent,absent
075,,/Users/wdy/github/1999SHUIHU3D/images/075.png,900,1350,generated,present,absent,absent
076,,/Users/wdy/github/1999SHUIHU3D/images/076.png,900,1350,generated,present,absent,absent
077,,/Users/wdy/github/1999SHUIHU3D/images/077.png,900,1350,generated,present,absent,absent
078,,/Users/wdy/github/1999SHUIHU3D/images/078.png,900,1350,generated,present,absent,absent
079,,/Users/wdy/github/1999SHUIHU3D/images/079.png,900,1350,generated,present,absent,absent
080,,/Users/wdy/github/1999SHUIHU3D/images/080.png,900,1350,generated,present,absent,absent
081,,/Users/wdy/github/1999SHUIHU3D/images/081.png,900,1350,generated,present,absent,absent
082,,/Users/wdy/github/1999SHUIHU3D/images/082.png,900,1350,generated,present,absent,absent
083,,/Users/wdy/github/1999SHUIHU3D/images/083.png,900,1350,generated,present,absent,absent
084,,/Users/wdy/github/1999SHUIHU3D/images/084.png,900,1350,generated,present,absent,absent
085,,/Users/wdy/github/1999SHUIHU3D/images/085.png,900,1350,generated,absent,absent,absent
086,,/Users/wdy/github/1999SHUIHU3D/images/086.png,900,1350,generated,absent,absent,absent
087,,/Users/wdy/github/1999SHUIHU3D/images/087.png,900,1350,generated,absent,absent,absent
088,,/Users/wdy/github/1999SHUIHU3D/images/088.png,900,1350,generated,present,absent,absent
089,,/Users/wdy/github/1999SHUIHU3D/images/089.png,900,1350,generated,absent,absent,absent
090,,/Users/wdy/github/1999SHUIHU3D/images/090.png,900,1350,generated,absent,absent,absent
091,,/Users/wdy/github/1999SHUIHU3D/images/091.png,900,1350,generated,absent,absent,absent
092,,/Users/wdy/github/1999SHUIHU3D/images/092.png,900,1350,generated,absent,absent,absent
093,,/Users/wdy/github/1999SHUIHU3D/images/093.png,900,1350,generated,present,absent,absent
094,,/Users/wdy/github/1999SHUIHU3D/images/094.png,900,1350,generated,present,absent,absent
095,,/Users/wdy/github/1999SHUIHU3D/images/095.png,900,1350,generated,present,absent,absent
096,,/Users/wdy/github/1999SHUIHU3D/images/096.png,900,1350,generated,present,absent,absent
097,,/Users/wdy/github/1999SHUIHU3D/images/097.png,900,1350,generated,present,absent,absent
098,,/Users/wdy/github/1999SHUIHU3D/images/098.png,900,1350,generated,absent,absent,absent
099,,/Users/wdy/github/1999SHUIHU3D/images/099.png,900,1350,generated,present,absent,absent
100,,/Users/wdy/github/1999SHUIHU3D/images/100.png,900,1350,generated,present,absent,absent
101,,/Users/wdy/github/1999SHUIHU3D/images/101.png,900,1350,generated,absent,absent,absent
102,,/Users/wdy/github/1999SHUIHU3D/images/102.png,900,1350,generated,present,absent,absent
103,,/Users/wdy/github/1999SHUIHU3D/images/103.png,900,1350,generated,present,absent,absent
104,,/Users/wdy/github/1999SHUIHU3D/images/104.png,900,1350,generated,present,absent,absent
105,,/Users/wdy/github/1999SHUIHU3D/images/105.png,900,1350,generated,present,absent,absent
106,,/Users/wdy/github/1999SHUIHU3D/images/106.png,900,1350,generated,absent,absent,absent
107,,/Users/wdy/github/1999SHUIHU3D/images/107.png,900,1350,generated,absent,absent,absent
108,,/Users/wdy/github/1999SHUIHU3D/images/108.png,900,1350,generated,present,present,absent
